id_of_Operation,id_of_Technician,schedulingAssignmentVar,taskAssignmentDurationVar
O1001,Tech1,1,5.0
O1002,Tech2,1,5.0
O1003,Tech3,1,5.0
O1004,Tech4,1,5.0
O1005,Tech5,1,5.0
O1006,Tech6,1,5.0
O1007,Tech7,1,5.0
O1008,Tech8,1,5.0
O1009,Tech9,1,5.0
O1010,Tech10,1,5.0
O1011,Tech11,1,5.0
O1012,Tech12,1,5.0
O1013,Tech13,1,5.0
O1014,Tech14,1,5.0
O1015,Tech15,1,5.0
O1016,Tech16,1,5.0
O1017,Tech17,1,5.0
O1018,Tech18,1,5.0
O1019,Tech19,1,5.0
O102,Tech5,1,10.0
O1020,Tech20,1,5.0
O103,Tech5,1,8.0
O106,Tech5,1,8.0
O113,Tech5,1,10.0
O116,Tech5,1,30.0
O122,Tech5,1,10.0
O128,Tech5,1,15.0
O134,Tech5,1,12.0
O135,Tech5,1,15.0
O138,Tech5,1,22.0
O139,Tech5,1,90.0
O141,Tech5,1,10.0
O145,Tech5,1,8.0
O146,Tech5,1,12.0
O147,Tech5,1,22.0
O150,Tech5,1,15.0
O151,Tech5,1,12.0
O153,Tech5,1,11.0
O154,Tech5,1,11.0
O155,Tech5,1,20.0
O156,Tech5,1,11.0
O157,Tech5,1,11.0
O159,Tech5,1,10.0
O162,Tech5,1,12.0
O168,Tech5,1,15.0
O171,Tech5,1,12.0
O173,Tech5,1,45.0
O178,Tech5,1,20.0
O179,Tech5,1,20.0
O18,Tech5,1,12.0
O185,Tech5,1,10.0
O186,Tech5,1,10.0
O191,Tech5,1,20.0
O2001,Tech1,1,5.0
O2002,Tech2,1,5.0
O2003,Tech3,1,5.0
O2004,Tech4,1,5.0
O2005,Tech5,1,5.0
O2006,Tech6,1,5.0
O2007,Tech7,1,5.0
O2008,Tech8,1,5.0
O2009,Tech9,1,5.0
O2010,Tech10,1,5.0
O2011,Tech11,1,5.0
O2012,Tech12,1,5.0
O2013,Tech13,1,5.0
O2014,Tech14,1,5.0
O2015,Tech15,1,5.0
O2016,Tech16,1,5.0
O2017,Tech17,1,5.0
O2018,Tech18,1,5.0
O2019,Tech19,1,5.0
O2020,Tech20,1,5.0
O203,Tech5,1,12.0
O206,Tech5,1,30.0
O213,Tech5,1,12.0
O222,Tech5,1,10.0
O227,Tech5,1,12.0
O229,Tech5,1,30.0
O231,Tech5,1,25.0
O246,Tech5,1,12.0
O247,Tech5,1,12.0
O249,Tech5,1,12.0
O252,Tech5,1,12.0
O26,Tech5,1,10.0
O262,Tech5,1,12.0
O271,Tech5,1,20.0
O273,Tech5,1,20.0
O274,Tech5,1,15.0
O292,Tech5,1,25.0
O299,Tech5,1,12.0
O309,Tech5,1,8.0
O310,Tech5,1,12.0
O313,Tech5,1,12.0
O315,Tech5,1,12.0
O321,Tech5,1,15.0
O323,Tech5,1,12.0
O328,Tech1,1,12.0
O33,Tech5,1,8.0
O333,Tech5,1,15.0
O334,Tech7,1,12.0
O336,Tech5,1,12.0
O338,Tech12,1,15.0
O349,Tech5,1,15.0
O355,Tech5,1,12.0
O36,Tech5,1,12.0
O361,Tech5,1,22.0
O365,Tech5,1,22.0
O370,Tech5,1,12.0
O371,Tech5,1,15.0
O375,Tech5,1,12.0
O38,Tech5,1,15.0
O382,Tech5,1,8.0
O385,Tech5,1,20.0
O387,Tech5,1,8.0
O392,Tech5,1,12.0
O393,Tech5,1,8.0
O402,Tech5,1,20.0
O408,Tech5,1,8.0
O411,Tech5,1,8.0
O412,Tech5,1,22.0
O418,Tech5,1,20.0
O423,Tech5,1,15.0
O430,Tech5,1,12.0
O431,Tech5,1,20.0
O437,Tech5,1,12.0
O444,Tech12,1,15.0
O445,Tech12,1,30.0
O469,Tech5,1,15.0
O483,Tech5,1,8.0
O493,Tech5,1,30.0
O495,Tech5,1,8.0
O496,Tech5,1,15.0
O511,Tech12,1,20.0
O527,Tech5,1,12.0
O529,Tech5,1,15.0
O530,Tech5,1,15.0
O540,Tech5,1,15.0
O543,Tech5,1,15.0
O554,Tech5,1,22.0
O556,Tech5,1,12.0
O560,Tech5,1,90.0
O57,Tech5,1,12.0
O62,Tech5,1,15.0
O63,Tech5,1,12.0
O7,Tech5,1,20.0
O70,Tech5,1,30.0
O75,Tech5,1,30.0
O76,Tech5,1,8.0
O77,Tech5,1,10.0
O78,Tech5,1,11.0
O79,Tech5,1,8.0
O80,Tech5,1,8.0
O81,Tech5,1,8.0
O82,Tech5,1,8.0
O91,Tech6,1,25.0
O93,Tech5,1,15.0
O99,Tech5,1,12.0
